2020-05-24 14:09:28: == 同步开始由 User Command
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/genetlink.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/genetlink.h' (4,472)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/geneve.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/geneve.h' (2,264)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/gre.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/gre.h' (1,592)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/inet_ecn.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/inet_ecn.h' (1,326)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/inet_frag.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/inet_frag.h' (2,541)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/inetpeer.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/inetpeer.h' (484)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/ip.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/ip.h' (3,851)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/ip6_route.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/ip6_route.h' (1,237)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/ip6_tunnel.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/ip6_tunnel.h' (772)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/ip_tunnels.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/ip_tunnels.h' (9,678)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/ipv6.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/ipv6.h' (1,558)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/lisp.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/lisp.h' (615)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/mpls.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/mpls.h' (1,208)
